player_id,player,team,partidos,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves,g_per90,a_per90,ga_per90,sh_per90,kp_per90,bcc_per90,crosses_per90,int_per90,clr_per90,rec_per90,saves_per90,fouls_per90,fouled_per90,pass_acc_pct,long_ball_pct,cross_acc_pct,dribble_win_pct,tackle_acc_pct,duel_win_pct,aerial_win_pct,conv_rate,sot_rate
875274,Diego Coelho,Audax Italiano,10,429,1,0,6,4,4,0,1,140,78,40,4,0,1,0,4,4,1,8,0,1,22,4,34,30,0,5,7,4,0,0.21,0.0,0.21,1.26,0.84,0.0,0.21,0.21,1.68,0.84,0.0,1.05,1.47,51.3,0.0,0.0,100.0,0.0,53.1,42.3,16.7,66.7
247055,Nicolás Vargas,Huachipato,10,861,1,1,4,3,5,0,0,600,415,327,116,54,29,7,2,1,13,51,4,8,14,33,31,24,7,3,8,0,0,0.1,0.1,0.21,0.42,0.52,0.0,3.03,1.36,5.33,3.45,0.0,0.31,0.84,78.8,46.6,24.1,50.0,50.0,56.4,36.8,25.0,75.0
339711,Dilan Zúñiga,Palestino,10,895,1,1,9,3,11,3,0,585,365,299,49,23,20,7,22,13,9,26,10,13,11,34,46,26,1,8,9,0,0,0.1,0.1,0.2,0.91,1.11,0.3,2.01,0.91,2.61,3.42,0.0,0.8,0.91,81.9,46.9,35.0,59.1,76.9,63.9,29.7,11.1,33.3
1125913,Diego Sanhueza,Ñublense,10,449,1,0,10,3,6,2,1,282,158,126,20,7,16,4,12,7,2,13,3,6,5,22,20,32,2,6,3,1,0,0.2,0.0,0.2,2.0,1.2,0.4,3.21,0.4,2.61,4.41,0.0,1.2,0.6,79.7,35.0,25.0,58.3,50.0,38.5,13.5,10.0,30.0
819072,Jorge Henríquez,Deportes Concepción,8,444,1,0,12,3,7,0,0,430,321,252,53,32,23,8,11,8,1,2,6,8,6,60,29,28,2,8,7,0,0,0.2,0.0,0.2,2.43,1.42,0.0,4.66,0.2,0.41,12.16,0.0,1.62,1.42,78.5,60.4,34.8,72.7,75.0,50.9,17.6,8.3,25.0
1114520,Paolo Guajardo,Audax Italiano,10,452,0,1,3,0,4,2,0,232,112,86,9,3,16,2,13,4,6,12,7,7,3,22,25,26,0,5,11,0,0,0.0,0.2,0.2,0.6,0.8,0.4,3.19,1.19,2.39,4.38,0.0,1.0,2.19,76.8,33.3,12.5,30.8,100.0,49.0,10.3,0.0,0.0
359024,Juan Martín Lucero,Universidad de Chile,7,458,1,0,10,6,3,1,2,160,92,60,4,1,1,0,5,1,0,3,5,5,11,11,26,32,0,5,9,2,0,0.2,0.0,0.2,1.97,0.59,0.2,0.2,0.0,0.59,2.16,0.0,0.98,1.77,65.2,25.0,0.0,20.0,100.0,44.8,25.6,10.0,60.0
997539,Rodrigo Cabral,Audax Italiano,10,480,1,0,10,4,7,0,1,240,133,109,8,5,18,4,14,5,1,4,0,5,1,28,24,25,0,3,13,2,0,0.19,0.0,0.19,1.88,1.31,0.0,3.38,0.19,0.75,5.25,0.0,0.56,2.44,82.0,62.5,22.2,35.7,0.0,49.0,3.8,10.0,40.0
1002939,Lucas Assadi,Universidad de Chile,8,482,0,1,11,4,7,1,0,259,174,141,8,5,12,3,19,12,4,1,2,3,2,18,20,15,0,1,3,0,0,0.0,0.19,0.19,2.05,1.31,0.19,2.24,0.75,0.19,3.36,0.0,0.19,0.56,81.0,62.5,25.0,63.2,66.7,57.1,11.8,0.0,36.4
942415,Bastián Yáñez,O'Higgins,9,473,1,0,3,2,7,0,0,259,151,123,8,5,37,9,13,5,4,1,6,9,0,21,19,14,1,3,5,1,0,0.19,0.0,0.19,0.57,1.33,0.0,7.04,0.76,0.19,4.0,0.0,0.57,0.95,81.5,62.5,24.3,38.5,66.7,57.6,0.0,33.3,66.7
