player_id,player,team,position,pos_label,partidos
819088,Branco Ampuero,Universidad Católica,D,Defensa,11
1199471,Bryan González,Universidad Católica,M,Mediocampo,2
995388,Clemente Montes,Universidad Católica,M,Mediocampo,7
324937,Cristián Cuevas,Universidad Católica,D,Defensa,10
986496,Daniel González,Universidad Católica,D,Defensa,5
333403,Darío Melo,Universidad Católica,G,Arquero,11
1473023,Diego Corral,Universidad Católica,M,Mediocampo,8
906110,Diego Valencia,Universidad Católica,F,Delantera,8
117430,Eugenio Mena,Universidad Católica,D,Defensa,11
828952,Fernando Zampedri,Universidad Católica,F,Delantera,11
284729,Fernando Zuqui,Universidad Católica,M,Mediocampo,4
22975,Gary Medel,Universidad Católica,M,Mediocampo,7
819115,Jhojan Valencia,Universidad Católica,M,Mediocampo,11
588796,Jimmy Martínez,Universidad Católica,M,Mediocampo,11
2204302,José Salas,Universidad Católica,D,Defensa,2
1409361,Juan Francisco Rossel,Universidad Católica,M,Mediocampo,8
896624,Juan Ignacio Díaz,Universidad Católica,D,Defensa,9
932866,Justo Giani,Universidad Católica,M,Mediocampo,11
2121648,Martín Gómez,Universidad Católica,M,Mediocampo,7
973560,Matías Palavecino,Universidad Católica,M,Mediocampo,11
1981780,Nicolás L'Huiller,Universidad Católica,D,Defensa,5
2058867,Sebastián Arancibia,Universidad Católica,D,Defensa,3
386220,Tomás Asta-Buruaga,Universidad Católica,D,Defensa,6
1016653,Vicente Bernedo,Universidad Católica,G,Arquero,11
1982597,Vicente Cárcamo,Universidad Católica,F,Delantera,6
1388813,Agustín Arce,Universidad de Chile,M,Mediocampo,8
1475072,Bianneider Tamayo,Universidad de Chile,D,Defensa,7
18304,Charles Aránguiz,Universidad de Chile,M,Mediocampo,7
26457,Cristopher Toselli,Universidad de Chile,G,Arquero,11
1482432,Diego Vargas,Universidad de Chile,D,Defensa,6
37006,Eduardo Vargas,Universidad de Chile,F,Delantera,9
2115322,Elias Rojas,Universidad de Chile,M,Mediocampo,1
818897,Fabián Hormazábal,Universidad de Chile,D,Defensa,11
1138070,Felipe Salomoni,Universidad de Chile,D,Defensa,7
981341,Franco Calderón,Universidad de Chile,D,Defensa,10
805183,Gabriel Castellón,Universidad de Chile,G,Arquero,11
1482412,Ignacio Vásquez,Universidad de Chile,M,Mediocampo,11
589542,Israel Poblete,Universidad de Chile,M,Mediocampo,11
925337,Javier Altamirano,Universidad de Chile,M,Mediocampo,11
2331086,Jhon Cortes,Universidad de Chile,F,Delantera,1
359024,Juan Martín Lucero,Universidad de Chile,F,Delantera,8
1002939,Lucas Assadi,Universidad de Chile,M,Mediocampo,8
2184978,Lucas Barrera,Universidad de Chile,M,Mediocampo,4
1201172,Lucas Romero,Universidad de Chile,M,Mediocampo,10
26480,Marcelo Díaz,Universidad de Chile,M,Mediocampo,7
1087387,Marcelo Morales,Universidad de Chile,D,Defensa,8
2145368,Martín Espinoza Pino,Universidad de Chile,F,Delantera,3
2489479,Matías Riquelme,Universidad de Chile,M,Mediocampo,2
789979,Matías Zaldivia,Universidad de Chile,D,Defensa,10
906105,Maximiliano Guerrero,Universidad de Chile,M,Mediocampo,11
889500,Nicolás Fernández,Universidad de Chile,D,Defensa,10
831012,Nicolás Ramírez,Universidad de Chile,D,Defensa,11
790149,Octavio Rivero,Universidad de Chile,F,Delantera,2
2057322,Vicente Ramírez,Universidad de Chile,F,Delantera,4
965775,Agustín Urzi,Universidad de Concepción,M,Mediocampo,10
906108,Antonio Díaz,Universidad de Concepción,F,Delantera,11
965719,Ariel Uribe,Universidad de Concepción,M,Mediocampo,11
1106822,Bastián Ubal,Universidad de Concepción,D,Defensa,4
2199269,Benjamín Sáez,Universidad de Concepción,D,Defensa,6
986462,Bryan Ogaz,Universidad de Concepción,M,Mediocampo,11
159931,Cecilio Waterman,Universidad de Concepción,F,Delantera,9
939997,Cristhofer Mesías,Universidad de Concepción,M,Mediocampo,10
2163290,Cristobal Zambrano,Universidad de Concepción,M,Mediocampo,6
1183778,Daniel Barrea,Universidad de Concepción,F,Delantera,2
1482287,David Retamal,Universidad de Concepción,D,Defensa,7
1906000,Diego Antonio Sabando Sanhueza,Universidad de Concepción,F,Delantera,2
2284219,Esteban Páez,Universidad de Concepción,D,Defensa,4
896753,Facundo Mater,Universidad de Concepción,M,Mediocampo,11
2455393,Francisco Herrera,Universidad de Concepción,M,Mediocampo,7
1125882,Harol Salgado,Universidad de Concepción,F,Delantera,8
1106828,Jeison Fuentealba,Universidad de Concepción,M,Mediocampo,11
986609,Jorge Espejo,Universidad de Concepción,D,Defensa,10
978979,José Sanhueza,Universidad de Concepción,G,Arquero,11
365990,Leonel González,Universidad de Concepción,D,Defensa,9
1836929,Luca Kmet,Universidad de Concepción,F,Delantera,3
995284,Luis Rojas,Universidad de Concepción,M,Mediocampo,1
1982599,Martín Ramírez,Universidad de Concepción,F,Delantera,8
883483,Moisés González,Universidad de Concepción,D,Defensa,4
47037,Osvaldo González,Universidad de Concepción,D,Defensa,11
973567,Pablo Parra,Universidad de Concepción,M,Mediocampo,8
1503169,Patricio Romero,Universidad de Concepción,D,Defensa,3
1002740,Santiago Silva Azambuja,Universidad de Concepción,G,Arquero,11
906102,Yerco Oyanedel,Universidad de Concepción,D,Defensa,11
927110,Alexander Pastene,Unión La Calera,D,Defensa,5
1403421,Axel Encinas,Unión La Calera,M,Mediocampo,11
951277,Bayron Oyarzo,Unión La Calera,M,Mediocampo,11
2496220,Benjamín Argandoña,Unión La Calera,M,Mediocampo,3
822449,Camilo Moya,Unión La Calera,M,Mediocampo,11
861299,Carlo Villanueva,Unión La Calera,M,Mediocampo,4
889511,Christopher Díaz,Unión La Calera,D,Defensa,11
819005,Cristián Gutiérrez,Unión La Calera,D,Defensa,10
1111544,Daniel Gutiérrez,Unión La Calera,D,Defensa,11
1523685,Francisco Jose Pozzo,Unión La Calera,F,Delantera,10
1017169,Javier Saldías,Unión La Calera,D,Defensa,6
1002941,Joan Cruz,Unión La Calera,M,Mediocampo,6
1190022,Joaquín Soto,Unión La Calera,M,Mediocampo,11
965967,Juan Manuel Requena,Unión La Calera,M,Mediocampo,9
787710,Kevin Méndez,Unión La Calera,M,Mediocampo,10
1650043,Martín Hiriart,Unión La Calera,F,Delantera,7
924528,Matías Campos López,Unión La Calera,F,Delantera,11
2456453,Maximiliano Fernandez,Unión La Calera,F,Delantera,4
1807687,Michael Maturana,Unión La Calera,D,Defensa,8
339261,Nelson Espinoza,Unión La Calera,G,Arquero,11
333465,Nicolás Avellaneda,Unión La Calera,G,Arquero,11
1125257,Nicolás Palma,Unión La Calera,D,Defensa,10
1108449,Rodrigo Caseres,Unión La Calera,D,Defensa,11
936901,Sebastián Sáez,Unión La Calera,F,Delantera,11
822444,Yerko Leiva,Unión La Calera,M,Mediocampo,7
