player_id,player,team,rival,match_id,date,venue,minutes,gf_on,ga_on,pm
312318,Brayan Véjar,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,75.0,0,2,-2
22973,Cristián Suárez,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,90.0,0,2,-2
553508,Fausto Grillo,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,90.0,0,2,-2
177813,Misael Dávila,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,90.0,0,2,-2
991004,Mario Sandoval,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,57.0,0,1,-1
1022801,Mauricio Vera,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,75.0,0,2,-2
986422,Aldrix Jara,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,57.0,0,1,-1
790010,Leonardo Valencia,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,90.0,0,2,-2
986529,Ethan Espinoza,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,75.0,0,2,-2
28242,Joaquín Larrivey,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,90.0,0,2,-2
1125898,Ángel Gillard,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,33.0,0,1,-1
589548,Nelson Sepúlveda,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,33.0,0,1,-1
247079,Carlos Escobar,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,15.0,0,0,0
1482455,Leenhan Romero,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,15.0,0,0,0
939938,Ariel Cáceres,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,15.0,0,0,0
818874,Fernando de Paul,Colo-Colo,Unión La Calera,15352957,2026-02-15,Home,90.0,0,0,0
1022259,Jeyson Rojas,Colo-Colo,Unión La Calera,15352957,2026-02-15,Home,90.0,0,0,0
1014795,Jonathan Villagra,Colo-Colo,Unión La Calera,15352957,2026-02-15,Home,90.0,0,0,0
1015274,Joaquín Sosa,Colo-Colo,Unión La Calera,15352957,2026-02-15,Home,90.0,0,0,0
1176822,Diego Ulloa,Colo-Colo,Unión La Calera,15352957,2026-02-15,Home,46.0,0,0,0
